sefer_id,tren_id,hat_id,planlanan_kalkis,yolcu_sayisi,bilet_kontrol_cihaz_versiyonu,makinist_sicil_no,yemek_servisi_var_mi,hava_durumu,gecikme_suresi_dk
SEFER-00001,TREN-129,HAT-05,16.03.2026 15:45,397,v2.1.0,M-9751,0,Sisli,27.9
SEFER-00002,TREN-151,HAT-10,07.04.2026 13:00,493,v2.4.1,M-4467,1,Sisli,17.0
SEFER-00003,TREN-142,HAT-06,2026-05-11 03:45:00,265,v1.0.4,M-6733,0,Karli,33.0
SEFER-00004,TREN-109,HAT-13,2026-06-13 15:00:00,152,v3.0.0,M-2874,0,Acik,9.7
SEFER-00005,TREN-160,HAT-12,2026-02-13 23:30:00,432,v2.4.1,M-2771,0,,1.2
SEFER-00006,TREN-140,HAT-10,2026-04-26 20:45:00,88,v1.0.4,M-5941,0,yagmurlu,19.7
SEFER-00007,TREN-173,HAT-13,2026-01-08 06:30:00,85,v3.0.0,M-9031,0,yagmurlu,-999.0
SEFER-00008,TREN-156,HAT-06,2026-04-19 17:45:00,425,v3.0.0,M-8616,1,yagmurlu,51.7
SEFER-00009,TREN-176,HAT-05,2026-02-25 06:15:00,280,v3.0.0,M-6511,0,Yagmurlu,21.9
SEFER-00010,TREN-164,HAT-14,2026-02-25 17:15:00,182,v2.4.1,M-1166,0,Karli,28.3
SEFER-00011,TREN-111,HAT-04,2026-05-04 03:45:00,403,v1.0.4,M-2524,1,Sisli,25.4
SEFER-00012,TREN-129,HAT-07,2026-04-29 07:15:00,292,v2.4.1,M-6764,1,yagmurlu,25.6
SEFER-00013,TREN-135,HAT-05,2026-02-13 03:15:00,111,v2.1.0,M-4138,0,,7.7
SEFER-00014,TREN-162,HAT-05,2026-05-04 21:30:00,201,v2.1.0,M-5494,0,Yagmurlu,12.5
SEFER-00015,TREN-107,HAT-09,2026-02-20 02:15:00,102,v3.0.0,M-6582,0,Acik,8.5
SEFER-00016,TREN-107,HAT-05,2026-06-10 20:45:00,,v1.0.4,M-3485,0,Sisli,15.8
SEFER-00017,TREN-173,HAT-05,2026-01-15 18:15:00,360,v3.0.0,M-8381,1,yagmurlu,33.6
SEFER-00018,TREN-139,HAT-14,2026-04-11 16:45:00,362,v2.1.0,M-5335,0,,1.0
SEFER-00019,TREN-121,HAT-04,2026-01-30 21:00:00,402,v2.4.1,M-5632,1,yagmurlu,14.3
SEFER-00020,TREN-110,HAT-11,2026-02-10 02:30:00,388,v2.1.0,M-5352,0,Yagmurlu,13.5
SEFER-00021,TREN-110,HAT-01,2026-01-29 13:30:00,197,v3.0.0,M-5460,1,Sisli,16.3
SEFER-00022,TREN-157,HAT-02,2026-04-13 07:00:00,359,v1.0.4,M-5415,0,Karli,25.3
SEFER-00023,TREN-123,HAT-08,2026-03-30 19:45:00,349,v1.0.4,M-8700,1,Sisli,35.1
SEFER-00024,TREN-153,HAT-06,2026-02-25 01:00:00,405,v1.0.4,M-8451,0,Sisli,18.4
SEFER-00025,TREN-141,HAT-05,2026-02-25 10:00:00,313,v3.0.0,M-1888,0,Acik,10.7
SEFER-00026,TREN-167,HAT-06,2026-04-17 12:45:00,154,v3.0.0,M-8941,0,Karli,23.0
SEFER-00027,TREN-104,HAT-11,2026-04-15 03:15:00,57,v1.0.4,M-8560,0,yagmurlu,13.2
SEFER-00028,TREN-120,HAT-08,2026-06-09 10:30:00,477,v2.1.0,M-7284,0,Sisli,54.2
SEFER-00029,TREN-177,HAT-09,2026-05-08 14:15:00,454,v2.4.1,M-1042,1,Sisli,19.2
SEFER-00030,TREN-139,HAT-14,2026-04-11 10:45:00,297,v3.0.0,M-8460,1,Karli,19.0
SEFER-00031,TREN-125,HAT-12,2026-02-11 00:45:00,72,v3.0.0,M-7325,0,Karli,28.7
SEFER-00032,TREN-164,HAT-01,2026-01-22 19:30:00,275,v2.1.0,M-7717,0,Acik,17.5
SEFER-00033,TREN-110,HAT-08,2026-05-14 15:30:00,382,v3.0.0,M-6188,1,Acik,19.1
SEFER-00034,TREN-170,HAT-01,2026-04-16 15:00:00,197,v1.0.4,M-2646,1,Yagmurlu,21.7
SEFER-00035,TREN-122,HAT-12,21.02.2026 08:00,200,v3.0.0,M-3950,0,Karli,29.7
SEFER-00036,TREN-123,HAT-02,2026-04-15 06:45:00,348,v3.0.0,M-5183,0,Yagmurlu,10.6
SEFER-00037,TREN-160,HAT-15,19.02.2026 08:15,350,v2.4.1,M-8484,1,Karli,35.2
SEFER-00038,TREN-126,HAT-07,2026-05-26 21:45:00,233,v1.0.4,M-7484,1,yagmurlu,11.5
SEFER-00039,TREN-102,HAT-10,2026-05-28 21:00:00,476,v2.4.1,M-4588,0,Karli,29.9
SEFER-00040,TREN-180,HAT-05,2026-04-26 22:15:00,380,v2.4.1,M-3153,0,Acik,3.7
SEFER-00041,TREN-138,HAT-06,2026-05-08 19:45:00,326,v2.1.0,M-5210,1,Karli,32.6
SEFER-00042,TREN-138,HAT-12,2026-05-29 19:30:00,88,v3.0.0,M-6992,0,Yagmurlu,32.0
SEFER-00043,TREN-151,HAT-01,2026-02-15 09:00:00,394,v2.4.1,M-2775,0,Karli,33.8
SEFER-00044,TREN-161,HAT-01,2026-04-16 23:30:00,82,v2.4.1,M-7689,0,,17.4
SEFER-00045,TREN-118,HAT-01,2026-06-11 17:00:00,99,v3.0.0,M-7078,1,Yagmurlu,39.8
SEFER-00046,TREN-176,HAT-12,2026-05-05 06:15:00,476,v2.4.1,M-1536,1,Sisli,24.6
SEFER-00047,TREN-128,HAT-08,2026-03-18 03:15:00,401,v2.4.1,M-1992,1,Karli,22.9
SEFER-00048,TREN-136,HAT-04,2026-06-15 11:00:00,96,v1.0.4,M-1828,1,,2.4
SEFER-00049,TREN-132,HAT-03,15.05.2026 13:15,156,v2.4.1,M-3417,0,yagmurlu,10.4
SEFER-00050,TREN-136,HAT-14,2026-01-25 22:15:00,106,v2.4.1,M-4898,1,,20.1
SEFER-00051,TREN-103,HAT-03,2026-02-15 12:00:00,108,v2.4.1,M-9408,0,,0.7
SEFER-00052,TREN-158,HAT-09,2026-02-08 01:00:00,387,v1.0.4,M-1996,1,yagmurlu,11.6
SEFER-00053,TREN-152,HAT-07,2026-04-28 08:00:00,87,v2.1.0,M-5505,1,Acik,13.9
SEFER-00054,TREN-149,HAT-10,2026-04-01 19:30:00,100,v2.1.0,M-8046,1,,11.2
SEFER-00055,TREN-130,HAT-07,2026-02-28 02:45:00,210,v2.1.0,M-8770,0,Sisli,18.7
SEFER-00056,TREN-112,HAT-14,2026-01-15 19:00:00,240,v2.4.1,M-3002,1,Yagmurlu,26.1
SEFER-00057,TREN-146,HAT-14,2026-04-24 19:45:00,197,v2.1.0,M-3535,1,yagmurlu,21.7
SEFER-00058,TREN-129,HAT-14,2026-01-19 17:30:00,440,v1.0.4,M-5381,0,Karli,33.5
SEFER-00059,TREN-124,HAT-05,2026-05-01 04:30:00,142,v2.1.0,M-1502,0,Yagmurlu,16.4
SEFER-00060,TREN-168,HAT-04,2026-03-06 10:45:00,209,v1.0.4,M-1861,0,,3.9
SEFER-00061,TREN-121,HAT-13,2026-04-16 16:00:00,388,v2.4.1,M-4531,0,Sisli,21.6
SEFER-00062,TREN-145,HAT-07,2026-01-20 04:30:00,319,v1.0.4,M-1125,0,,3.7
SEFER-00063,TREN-139,HAT-04,2026-05-12 05:15:00,111,v2.1.0,M-7229,0,Acik,6.9
SEFER-00064,TREN-165,HAT-09,23.05.2026 11:30,71,v2.4.1,M-8033,1,Sisli,15.2
SEFER-00065,TREN-154,HAT-05,20.01.2026 21:45,460,v2.4.1,M-2443,1,yagmurlu,14.2
SEFER-00066,TREN-114,HAT-04,2026-03-16 14:45:00,208,v2.1.0,M-2251,0,,4.1
SEFER-00067,TREN-168,HAT-09,2026-02-03 08:30:00,380,v2.1.0,M-3842,0,Yagmurlu,20.7
SEFER-00068,TREN-110,HAT-03,2026-06-12 14:45:00,346,v2.4.1,M-6179,0,Sisli,26.4
SEFER-00069,TREN-157,HAT-02,2026-03-22 06:45:00,352,v3.0.0,M-8404,0,Acik,4.3
SEFER-00070,TREN-108,HAT-06,23.05.2026 04:30,487,v3.0.0,M-1672,1,Acik,9.5
SEFER-00071,TREN-174,HAT-11,2026-02-02 09:30:00,81,v2.4.1,M-2381,0,Sisli,26.1
SEFER-00072,TREN-106,HAT-04,2026-05-02 00:45:00,362,v3.0.0,M-7697,1,Yagmurlu,12.5
SEFER-00073,TREN-177,HAT-01,15.05.2026 22:30,397,v2.1.0,M-6461,0,Sisli,18.3
SEFER-00074,TREN-175,HAT-11,2026-01-25 09:30:00,389,v1.0.4,M-6072,1,Sisli,26.4
SEFER-00075,TREN-143,HAT-14,2026-01-23 01:00:00,235,v2.1.0,M-6598,1,Acik,4.5
SEFER-00076,TREN-125,HAT-04,24.01.2026 17:15,101,v1.0.4,M-6517,0,yagmurlu,32.7
SEFER-00077,TREN-177,HAT-07,2026-01-27 13:15:00,369,v2.4.1,M-4891,1,Yagmurlu,20.8
SEFER-00078,TREN-179,HAT-05,2026-05-09 15:45:00,464,v3.0.0,M-8564,1,Sisli,38.4
SEFER-00079,TREN-149,HAT-09,2026-04-01 06:45:00,460,v3.0.0,M-7081,0,yagmurlu,9.5
SEFER-00080,TREN-167,HAT-14,22.01.2026 12:30,280,v2.1.0,M-8391,1,yagmurlu,9.6
SEFER-00081,TREN-104,HAT-07,2026-01-10 08:45:00,91,v1.0.4,M-6493,0,Karli,27.5
SEFER-00082,TREN-118,HAT-01,2026-02-19 05:45:00,411,v1.0.4,M-1311,1,Sisli,-999.0
SEFER-00083,TREN-128,HAT-14,2026-01-26 18:45:00,204,v3.0.0,M-2029,0,Acik,10.5
