tren_id,tren_tipi,uretim_yili,lokomotif_yasi,toplam_kilometre_km,son_servis_gun_sayisi,motor_saglik_skoru,fren_balata_asinma_pct,tekerlek_profil_asinma_mm,depo_sorumlusu_adi,depo_kodu,garanti_durumu,son_bakim_maliyeti_tl,yedek_parca_tedarikci_kodu
TREN-101,YHT,2015,11,1253556,127,86.5,67.5,10.8,Ahmet Yilmaz,DEP-ANK,Devam Ediyor,65580,SUP-7912
TREN-102,Bolgesel,2002,24,2219613,15,85.4,69.6,5.3,Zeynep Ozturk,DEP-ANK,Devam Ediyor,255514,SUP-5557
TREN-103,Yuk,2005,21,1265476,81,87.8,18.7,4.9,Mustafa Celik,DEP-IZM,Devam Ediyor,208208,SUP-6635
TREN-104,Yuk,2012,14,623558,195,,34.9,7.7,Mustafa Celik,DEP-IST,Uzatildi,484231,SUP-6925
TREN-105,YHT,2015,11,1055874,150,92.3,83.7,4.9,Mehmet Demir,DEP-IZM,Bitti,257717,SUP-6977
TREN-106,Bolgesel,2016,10,1219786,38,58.5,72.0,2.4,Hasan Arslan,DEP-ADA,Uzatildi,218943,SUP-5422
TREN-107,Bolgesel,2016,10,1460140,30,51.6,36.8,3.6,Mehmet Demir,DEP-ADA,Bitti,130615,SUP-6155
TREN-108,Yuk,2015,11,2024564,75,62.2,57.7,3.5,Mustafa Celik,DEP-KNY,Bitti,326491,SUP-8019
TREN-109,Bolgesel,1999,27,2237108,254,,14.0,1.8,Zeynep Ozturk,DEP-ADA,Bitti,348962,SUP-3621
TREN-110,Banliyo,1997,29,1713831,197,73.2,31.4,6.9,Hasan Arslan,DEP-SVS,Bitti,26019,SUP-2876
TREN-111,Anahat,1998,28,1331028,224,50.2,71.4,8.8,Mustafa Celik,DEP-ANK,Uzatildi,282451,SUP-3927
TREN-112,Anahat,2015,11,2229292,103,87.7,55.8,9.5,Mustafa Celik,DEP-IZM,Bitti,298058,SUP-1009
TREN-113,YHT,2016,10,1622451,159,61.9,58.2,1.4,Zeynep Ozturk,DEP-ANK,Uzatildi,403730,SUP-8962
TREN-114,Bolgesel,1999,27,2093478,283,76.1,61.6,11.6,Hasan Arslan,DEP-IZM,Bitti,302746,SUP-4295
TREN-115,Anahat,2009,17,2270870,233,61.1,38.7,7.3,Ahmet Yilmaz,DEP-ANK,Uzatildi,140646,SUP-4608
TREN-116,YHT,2018,8,382697,18,53.5,30.2,8.2,Mehmet Demir,DEP-ADA,Uzatildi,132321,SUP-9834
TREN-117,Banliyo,2010,16,1119204,244,59.4,18.2,5.5,Fatma Sahin,DEP-ADA,Devam Ediyor,242077,SUP-7735
TREN-118,YHT,2015,11,1788716,175,55.4,26.3,6.7,Mehmet Demir,DEP-IZM,Bitti,93495,SUP-7912
TREN-119,Bolgesel,1997,29,1958625,283,,65.4,6.7,Zeynep Ozturk,DEP-IST,Devam Ediyor,27737,SUP-2528
TREN-120,Yuk,2010,16,2118963,111,94.7,24.0,0.5,Zeynep Ozturk,DEP-KNY,Bitti,224693,SUP-5345
TREN-121,Yuk,2017,9,2431061,251,64.7,92.3,7.2,Hasan Arslan,DEP-IZM,Devam Ediyor,304266,SUP-1998
TREN-122,YHT,2024,2,2099795,259,76.3,14.8,6.3,Ahmet Yilmaz,DEP-SVS,Devam Ediyor,466348,SUP-4044
TREN-123,Bolgesel,2007,19,602840,293,79.4,62.6,5.3,Ali Kaya,DEP-IZM,Devam Ediyor,326012,SUP-9565
TREN-124,Anahat,2002,24,1214068,204,82.0,48.9,11.2,Fatma Sahin,DEP-SVS,Uzatildi,58033,SUP-1152
TREN-125,YHT,2016,10,2355002,111,56.6,39.7,1.3,Ali Kaya,DEP-IST,Bitti,148075,SUP-7054
TREN-126,Banliyo,2017,9,1368848,272,,79.5,3.9,Mehmet Demir,DEP-IZM,Devam Ediyor,367806,SUP-2697
TREN-127,YHT,2023,3,751995,141,60.4,39.1,8.4,Mustafa Celik,DEP-KNY,Bitti,467171,SUP-5325
TREN-128,YHT,2016,10,1876605,143,,38.4,2.0,Hasan Arslan,DEP-KNY,Uzatildi,157340,SUP-3647
TREN-129,Yuk,2012,14,140557,59,,85.1,10.9,Zeynep Ozturk,DEP-IZM,Uzatildi,306046,SUP-1590
TREN-130,Banliyo,1999,27,1902656,67,,41.0,11.2,Ali Kaya,DEP-IST,Uzatildi,471256,SUP-1653
TREN-131,Bolgesel,2016,10,531147,183,93.8,44.5,7.6,Zeynep Ozturk,DEP-IST,Devam Ediyor,101030,SUP-4878
TREN-132,Yuk,1995,31,852293,172,70.4,66.9,9.0,Mehmet Demir,DEP-ADA,Devam Ediyor,150111,SUP-5371
TREN-133,Yuk,1996,30,2074217,115,95.5,39.7,9.9,Mehmet Demir,DEP-ANK,Uzatildi,476824,SUP-4728
TREN-134,Bolgesel,2007,19,1476830,144,97.9,33.7,7.9,Ali Kaya,DEP-ANK,Devam Ediyor,229546,SUP-9785
TREN-135,Anahat,2000,26,1213446,21,71.5,71.9,4.1,Ahmet Yilmaz,DEP-KNY,Uzatildi,337828,SUP-9379
TREN-136,Bolgesel,2003,23,286170,225,,88.7,6.7,Ali Kaya,DEP-KNY,Devam Ediyor,397188,SUP-4228
TREN-137,Anahat,2014,12,1416657,65,64.9,36.3,5.2,Mustafa Celik,DEP-IST,Devam Ediyor,230973,SUP-5844
TREN-138,Yuk,2016,10,1690250,91,64.9,56.6,0.5,Fatma Sahin,DEP-SVS,Uzatildi,170425,SUP-4443
TREN-139,Anahat,2009,17,1952984,228,75.3,77.5,11.5,Hasan Arslan,DEP-ANK,Bitti,405855,SUP-3780
TREN-140,Banliyo,2016,10,1505881,49,87.2,67.2,3.1,Ahmet Yilmaz,DEP-ANK,Devam Ediyor,124401,SUP-3414
TREN-141,Yuk,2014,12,405463,235,81.2,26.5,8.5,Mehmet Demir,DEP-IST,Uzatildi,279196,SUP-7547
TREN-142,YHT,2016,10,1883192,114,97.4,54.0,1.1,Fatma Sahin,DEP-IST,Bitti,150651,SUP-2988
TREN-143,Banliyo,2012,14,1430844,228,85.6,52.9,10.1,Mehmet Demir,DEP-ADA,Bitti,307242,SUP-8305
TREN-144,Yuk,2003,23,1136998,143,75.8,63.3,3.7,Mehmet Demir,DEP-IZM,Bitti,60623,SUP-5681
TREN-145,Anahat,2012,14,437967,72,69.0,23.0,3.0,Ali Kaya,DEP-SVS,Bitti,237510,SUP-7678
TREN-146,Yuk,1996,30,967526,217,88.1,90.4,0.7,Fatma Sahin,DEP-ANK,Bitti,481717,SUP-7232
TREN-147,Anahat,2019,7,1735722,216,86.4,78.0,10.8,Ali Kaya,DEP-KNY,Bitti,275972,SUP-4595
TREN-148,YHT,2021,5,1509829,209,91.6,88.2,11.8,Fatma Sahin,DEP-SVS,Uzatildi,300034,SUP-1441
TREN-149,YHT,2016,10,1897732,71,59.0,32.1,4.3,Ali Kaya,DEP-KNY,Bitti,258393,SUP-6355
TREN-150,Yuk,2003,23,443539,242,,55.9,12.0,Hasan Arslan,DEP-ANK,Uzatildi,203480,SUP-4673
TREN-151,YHT,2015,11,1137181,104,80.8,30.3,5.9,Fatma Sahin,DEP-ADA,Bitti,79973,SUP-4571
TREN-152,Anahat,2000,26,580385,85,55.4,12.2,4.1,Fatma Sahin,DEP-ADA,Devam Ediyor,375125,SUP-7149
TREN-153,YHT,2024,2,1118584,54,64.9,68.2,9.8,Ali Kaya,DEP-SVS,Bitti,437452,SUP-1672
TREN-154,Anahat,1997,29,2222153,176,,45.7,6.1,Hasan Arslan,DEP-KNY,Uzatildi,247291,SUP-6934
TREN-155,Bolgesel,2008,18,838771,269,63.4,78.7,6.7,Fatma Sahin,DEP-ADA,Uzatildi,273491,SUP-8616
TREN-156,Anahat,2005,21,1129681,46,72.3,73.8,7.1,Ali Kaya,DEP-ANK,Bitti,370323,SUP-7209
TREN-157,Anahat,2000,26,2144932,110,62.8,33.8,7.4,Mustafa Celik,DEP-ANK,Uzatildi,481429,SUP-5526
TREN-158,Bolgesel,1997,29,1112320,210,87.5,68.7,7.9,Zeynep Ozturk,DEP-ANK,Devam Ediyor,277331,SUP-8342
TREN-159,Anahat,2002,24,1796181,126,78.8,50.2,6.6,Ali Kaya,DEP-ADA,Bitti,243086,SUP-6419
TREN-160,Anahat,2004,22,1154463,120,59.5,20.2,6.7,Mehmet Demir,DEP-IST,Uzatildi,419606,SUP-4033
TREN-161,Yuk,2003,23,2300486,146,91.2,35.2,4.7,Hasan Arslan,DEP-SVS,Devam Ediyor,178475,SUP-1231
TREN-162,Anahat,1996,30,328698,285,96.7,64.2,9.2,Mustafa Celik,DEP-IZM,Bitti,73785,SUP-1200
TREN-163,Yuk,2009,17,1529024,96,62.5,83.2,1.8,Fatma Sahin,DEP-ANK,Uzatildi,54258,SUP-7565
TREN-164,YHT,2017,9,725780,290,54.2,31.1,6.9,Zeynep Ozturk,DEP-SVS,Bitti,238195,SUP-4697
TREN-165,Yuk,2009,17,1347189,221,80.7,61.8,9.0,Hasan Arslan,DEP-IST,Bitti,419893,SUP-4404
TREN-166,YHT,2017,9,1106067,90,57.7,44.7,8.4,Ahmet Yilmaz,DEP-IST,Bitti,266369,SUP-5771
TREN-167,Anahat,2017,9,2004345,38,95.7,77.0,7.7,Fatma Sahin,DEP-ANK,Uzatildi,366650,SUP-4241
